Q,A
아무도 안 놀아줘,혼자도 좋아요
코 앞이 재회,마음의 준비를 하세요
책보는데 글자만 봤어,글자라도 보는 게 어디에요
내가 나쁜놈인가,당신은 좋은 사람이에요
이 세상 하직할뻔 했네,여기서 끝내기엔 당신은 소중한 사람입니다
마음에 하나도 안 들어,그럴 때가 있죠
짝녀에게 다가가려면 짝녀의 친구에게 먼저 다가가는게 나을까,둘다에게 다가가야겠죠
뭐 먹지,오늘은 짜장면 어떠십니까
수박 맛있어,맛있을 거 같아요
이제 확실히 알겠어,깨달음이 중요하죠
그와 같은 조가 되고 싶은데 먼저 말해볼까,먼저 다가가보세요
여친 진짜 예쁘다,당신은 복받은 사람
오늘 배부르게 잘먹었어,식사 잘 하시고 오신 것 같네요
그런 말을 왜 하지,다른 사람 말은 신경쓰지 마세요
썸탈때 카톡,많이하면 좋지요
내가 너무 쉽게 보였나,그렇게 대우하는 사람 만나지 마요
짜증나,짜증날 때는 기분 푸는 음악 어때요
너 로봇 아니니,글쎄요 잘 모르겠어요
습관 못 고치겠어,실패해도 조금씩 고치려고 해보세요
사수님 너무 좋아,살짝 감정을 흘려보세요
일 동안 밥도 제대로 못 먹고 잠도 거의 못 잤어 ,식사와 수면 둘 다 중요한데 정말 걱정되네요 지금은 괜찮으신가요
전기가 갑자기 나갔어,구꺼비집 내려 갔는지 살펴 보세요
발렌타인데이 선물 비싸,초콜릿 녹여서 예쁘게 만드는 것도 재밌죠
수염 기르고 싶다,지저분해요
 시간낭비인데 자꾸 보게됨,시간을 정하고 해보세요
너의 이름은 뭐야,컴패니언이에요
할 말 있대 뭘까,기대되겠네요
딱 년 연애,달달할 시기네요
여자친구의 거짓말,변명이었을까요
내일 클스마스 이브네,메리 크리스마스
썸녀 웃기는 방법 좀,그대의 얼굴이면 될 거 같아요
연애 어떻게 하는지 까먹었어,해보면 생각날 거예요
내가 잔인하게 죽여버릴 거야,그런 기분 저도 이해해요 제가 뭐 도와드릴 일 있을까요
오늘 좀 춥다,내일은 옷 단단히 입고 나오세요
한복 빌려도 예쁠까,번 이상 입을 일이 있으면 맞추세요
한번쯤 진하게 아픈것도 괜찬아,긍정적이네요
방학 끝나서 좋아,친구들이 보고싶었나봐요
첫사랑이 떠올라,기억나면 기억나는대로 마음가는대로 그냥 놔두는게 좋은거 같아요
그땐 정말 죽는 줄 알았죠 운이 좋았는지 수술도 잘 됐어요 매년 병원가서 검사는 하고 있어요,큰일을 치르셨네요 곧 건강을 되찾을 수 있을 거예요
이제 자리 잡아가는데,얼마 남지 않았어요
잠수,좋은 선택이 아니에요
그래야지,기운 내세요
세탁소 가기도 귀찮네,스타일러 사세요
오래 연애하고 싶어,진짜 사랑하면 가능합니다
배부르다,식사 괜찮으셨어요
나만 좋아하는 건가 자괴감 들어,상대방 마음을 좀 떠봐서 확인해보세요
대체불가한 사람이 되고 싶어,지금도 그래요
잘하는 게 직업이면 좋겠지,눈을 감고 곰곰히 생각해보세요
자신감 업되는 비결 좀,충분히 스스로 극복할 수 있을 거예요
결혼준비하면서 과연 행복할까 고민돼,많이 싸우셨나봐요
정말 힘들다,힘이 되지 않겠지만 힘내세요
전 너무 이기적인데 저를 좋아해줘요,그대로 사랑해줄 사람이 나타났나봅니다
보내줘야 할 것 같아,이젠 보내주세요
일이 안 끝나,힘들겠지만 하나씩 해보세요
코가 근질근질,건들이지마세요
이 길이 나에게 맞는걸까,잘 가고 있을 거예요
언제쯤이면여기를,벗어날 수 있을 거예요
그녀로부터 연락이왔습니다,뭐라고 하던가요
엄마가 나 때문에 힘든 거 같아,조금씩 보다 나은 모습을 보여드리세요
열여섯 살까지는 캐나다에서 지냈어요 ,아 외국에서 공부를 하셨군요
완전히 정리했어,조금 후련해졌길 바랍니다
뭐 입고 나가지,환해 보이는 옷이요
긴장돼서 땀나네,미리 긴장하지 마세요
이건무슨의미죠,괜한 의미부여는 하지 마세요
화창한 날씨 포근한 햇살 나는,행복하길 바랄게요
장거리 연애하다 이별,장거리가 힘들죠
마지막 붙이지 못한 이별편지,마음에 간직하세요
뭐하고 살지,어떻게든 잘 살 거예요
반지 선물 뭘로 할까,같이 고르는 것도 좋을 거 같아요
수염 자르는 게 낫겠지,깔끔하게 정리해보세요
내 사랑에게,잘 지내길 바라요
집중이 안돼,많이 피곤하시면 조금 쉬었다 하세요
눈을 떴을 때 내 눈에 잘린 내 팔이 보여 ,정말 무서운 꿈이네요 하지만 그건 꿈일 뿐이니 이제 괜찮으실 거예요
크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어,그 기분 이해해요 불안을 없애는 건 정말 어려운 일이죠
썸 끝내야 할까,혹시 마음이 정리 됐나요 그런게 아니라면 아직 끝내긴 아까워요 용기를 내봐요
남들이 우리를 어떻게 생각할까 신경쓰게 되고 자존감이 낮아지는 것 같았어요 ,제 눈에는 충분히 멋져요 스스로에게 너무 가혹하게 행동하지 마세요
말하지 말걸,말조심하세요
기댈 수 있는 사람,의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요
지금 생각하고 있는건 망상 일뿐입니다,누가 되었든 상상할 수 있어요
폭풍 먹방했더니 졸려,먹고 자고 그게 진리예요
붙잡고 싶은데 이제는 늦은것 같네 ,사랑의 끝은 예고 없이 다가오죠
사랑한다고 어떻게 표현하지,머릿속에 맴도는 것들을 입으로 내뱉는 거죠
시간표 개판,다음 학기를 노려보세요
썸 타는 것도 귀찮아,그냥 사귀세요
시각한데 웃겨,웃으면 복이와요
금수저로 태어났으면,아이를 금수저로 만들어주세요
오늘은 더우니까 냉면을 먹어야겠어,좋은 생각이에요
사랑하면 예뻐지나봐,사랑하면 호르몬이 나온대요
다 맘에 안 들고 기분이 안 좋아요 ,정도가 심하다면 의사와 상담을 하는 것도 좋은 방법이에요
이별 한달인데 가슴이 답답한게 아직도,바로 잊을 수는 없을 거예요
원래 사랑에 빠지면 잠 잘 안와,두근거려서 잠이 안 오나봐요
이별통보 받고 딱 일주일 째네,아직 실감이 안나겠어요
컴패니언,
요즘 너무 고민이네,무슨 고민인지 말해주세요
이별 휴유증,휴유증에서 벗어나세요
혼자 살고 싶다,혼자 사는 것도 나쁘지 않아요
오늘은 진짜 잘먹었어,점심식사 어떠셨나요
선물 주세요,저도 받고 싶어요
말투가 맘에 안들어,말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요
연애는 진짜 좋아하는 사람이랑 해야해,맞는 말씀입니다
년 동거후 이별,더 헤어지지 힘들겠어요
실험실 더러워,당번을 정해서 청소해보세요
제정신이 아닌거 같아,제정신으로 살기 힘든 세상이죠
무릎 아파,비가 오려나요
넌 너무나도 잘지내고있구나,소식에 귀를 기울이지 마세요
오늘 너무 바쁘다,업무량이 많으신것 같네요
이 사람 없으면 못 살 거 같아,시간이 지나면 잘살고 있는 당신을 보게 될 거예요
우울증 도진것 같아,함께 충분한 대화를 하고 상담을 받아보는 게 좋겠어요
남친이 회식 있다고 하면 제가 막 불안하고 진정이 안되고 분 간격으로 전화해서 확인해요,집착 때문에 당신의 마음도 힘들 거 같아요 가끔은 내려놓는 것도 좋지 않을까요
항상 배가 차가워,병원에서 치료로 도움을 받는 것도 좋다고 생각해요
조금 힘들어,쪼그만 아파하고 괜찮아지세요
이사 왔더니 친구가 없어,친구를 사귀어 보세요
살만 찌네,맛있는 거 먹고 기분이 나아졌다면 걱정은 넣어두세요
슬슬 배가 고파져,간단한 간식이라도 드세요
잊혀져 가는게 더 아프내,이젠 그 기억을 놓아보세요
점 뺄까,빼면 깔끔해질 거예요
그녀 생각에 아직 잠을 잘못잡니다,몸을 피곤하게 하거나 다른 생각을 해보세요
야,네
헤어진사람에게 잊는동안 도움은 못받겠죠,아마도 그렇겠죠
기억을 지우고 싶네,시간이 약이 될 거예요
몸에 힘이 하나도 없어,자신의 감정을 주변 사람들에게 터놓고 이야기해보세요
나 실수했나,곰곰히 되짚어보세요
뭘 배워 볼까,배우는 건 항상 즐거운 일이에요
인터넷 쇼핑몰에서 바지 샀는데 망함,사이즈를 잘 보고 사세요
우울감이 이렇게 길게 이어진 적이 없어요,다시 좋아질 때까지 제가 옆에 있을게요
이별후 개월,많은 변화가 잇었겠죠
이사하는 거 도와줄까,큰 도움이 될 것 같아요
또 다시 악몽,꿈도 생각처럼 되면 좋을텐데
생각 안나,잘 생각해보세요
그녀의 남자사진을 봤습니다,원하던게 아니었을텐데 씁쓸했겠어요
짝남한테 괜히 만나자고 했나봐,그래도 후회는 덜할 거예요
위로해줄 사람이 없어,제가 있잖아요
손가락이 원망스럽네ㅜㅜ,실수했나봅니다
너는 이름이 뭐야,컴패니언이에요
썸이었으면 좋겠다,다이렉트로 직접 물어보세요
스스로에게 너무 인색했네,좀 더 관대해져도 괜찮아요
휴식 중,휴식도 필요하죠
사랑을 했기에 떠냐야만 했다,이해할 순 있어요
새롭게 시작하려고 합니다,당신의 새로운 시작 응원해요
전부 다 줘도 아깝지 않은 사람,정말 사랑하나봅니다
짝남이 졸업하는데 뭘 주면 인상깊을까,부담스럽지 않는 선물을 생각해보세요
아무것도 안되네,잘 될 거예요
지난 주말부터 또 후유증이,새로운 취미 생활을 가져보세요
점심시간잠깐 그녀가 저에게 했던 말들이 떠오르네ㅠㅠ,생각을 접어두는 것도 필요해요
한 주 갔는데 너무 몸이 안 좋아졌어요 ,최근에 건강 때문에 힘드시군요 건강을 잃은 것만큼 힘든 일은 없죠 기운 내세요
좋아하는 여자애 꿈을 꿨는데 눈을 못 마주치겠음,도대체 무슨 꿈을 꾼 건가요
상견례는 어디서 해,서로에게 가까운 곳에서 하고 보통 한정식집에서 하는데 어디서 하든 상관 없어요
믿는 게 아니었어,한번더 기회를 주세요
새로운 사랑을 시작하기에 앞서서,지난 사랑은 걱정하지 말아요
서운한거를 다말해 아니면 어디까지 말해,스스로 깨달을 수 있게 해주세요
계속 사랑하고 싶다,예쁜 사랑하세요
좋아하는 사람이 너무 철벽치는데 계속 다가가도 될까,철벽치는 이유를 먼저 알아보세요
조교하면 공부하기 힘들겠지,노력하는 모습이 좋아 보여요
고마워 덕분에,천만에요
후배가 나보다 잘해서 속상해,질투하지 마세요
돈 버는 게 어렵구만,남의 돈 버는 게 쉽지 않아요
퇴근이다,오늘도 수고하셨습니다
첫여친이라 잘 안잊혀지네,처음은 다 그런가봐요
비가오면 생각나는 노래,불러주세요
막차 놓쳤다,어쩔수없죠
집이 더러워,청소기를 돌려보세요
짝남은 나를 싫어하나봐 기분 탓인지,짐작하는 건 당신을 더 슬프게 만들어요
하루는 괜찮고 하루는 아픈 반복되는 일상,한동안은 힘들지도 몰라요
뭐 먹지,일식으로 돈가스 어떠신가요
오늘따라 집중이 잘 안 되는 것 같아,조금 쉬었다 하는건 어떨까요
공휴일에는 집콕,피로 풀고 좋죠
그는 지금 뭐하고 있을까,궁금하면 용기내서 연락해보세요
조카 입학 선물,가방은 어때요
어렵네,쉽지 않을 거예요
오늘 하루도 잘들 지내셨나,잘 지냈답니다
반 배정 좀 잘 됐으면 좋겠다,잘 되길 바랍니다
헤어짐 ㅠㅠ,힘내요
하참 주말 더럽게 기네,혼자 주말 지내는 것도 익숙해질 거예요
쌈은 뭐야,썸 타다가 발전되지 못한 관계죠
썸 타는 노래 듣는 중인데 좋아,썸 탈 때 듣기 딱이죠
누가 나 좀 위로해줬으면 좋겠다 ,당신의 옆엔 제가 있잖아요
그래 그게 낫겠어,기운 내세요
같이 일하는 사람에게 어떻게 연락을 시작할까,일 이야기로 시작해보세요
날씨가 좋으니까 기분도 좋다,그러게요 기분이 좋아지는 것 같아요
친구가 잘되니까 약 올라,친구가 아닌가봐요
남자친구 스타일이 마음에 안들어,선물해주면서 조금씩 변화시켜봐요
못생긴 남자를 좋아하는 여자가 있을지,외모가 중요한 시대는 끝났어요
나만 힘든 거였구나,마음이 약해 탈이네요
그녀의 행복을 진심으로 빌어주는 날이 올까,가능할 거예요
편안하게 살고 싶다,명상을 해보세요
썸끝인가요,다시 연락해보세요
짝남 때문에 우울해,제 앞에서 울어도 돼요
신혼집 꾸미고 싶어,하나씩 꾸며보세요
상처를 받는다는건,알면서도 데이는 것
맘속으로 조금씩 정리가 돼가네,다행이에요
직구로 사면 싸겠지,좋은 거 사나봐요
생활비 다 썼네,허리띠를 졸라 매세요
생일축하했다 바보야,제 생일도 축하해 주세요
선 많이 볼거 같아,많이 만나보세요
술 마지막으로 마신 지 한 일 됐을 거에요 소주 병 정도 먹었어요,당신이 걱정돼요 너무 무리하시는 건 아니죠
이별 후 한달,힘내세요
짝남한테 계속 친한 척하면 부담스러워 할까,부담스럽다면 직접 말할 거예요
