유저,구분
돈 문제만 아니라면 집 밖으로 나가고 싶지 않아요,증상/은둔
요즘 내가 왜 살고 있는 건 지도 모르겠어,증상/무기력
제 친구도 지하철 멀미가 있다고 해서 안심을 했는데 한 번 기절할 뻔하고 나니까 그게 아닌 거 같은 거예요,증상/기절예기
특히 외출할 때 집 문을 잠갔는지 계속 확인을 하게 되더라,증상/반복행동/문단속
나 정말 어떻게 해야 할까 ,감정/걱정
그러다 결국 사고가 났어요 일단 제가 교통사고가 났거든요,배경/사고/교통사고
앞으로 나는 뭘 해 먹고 사나 같은 이런저런 걱정이 들고,감정/걱정
학기가 끝나고 제가 먼저 고백을 했어요,배경/연애
스물한 살 때 회사 워크샵으로 용평을 갔었거든요,배경/어린시절
사람들이 미운게 아니라제 자신이 미운거예요,감정/자괴감
계속 그러는 건 아닌데 하루에 서너 번 정도 한 분씩 막 숨이 차,증상/호흡곤란
결국 휴학했죠 뭐 계속 집에 있었어요 ,배경/대학/휴학
길 지나다니는 사람들이 다 나만 쳐다보는 거 같고 내가 실수라도 다 알 거 같고,증상/피해망상/감시
다들 크든 작든 문제 하나씩은 갖고 살잖아요,배경/문제
근데 자꾸 이런 기분이 들어서 손을 자주 씻게 돼요 막 분에 한 번씩,증상/반복행동/손씻기
누가 북이라도 치는 것처럼 가슴이 둥둥둥 뛰어,증상/두근거림
취한 놈들 여럿이서 여자 한 명 붙잡고 엄청 괴롭히고 있길래 그냥 바로 갔어,배경/생활
길에서 모르는 어떤 아줌마가 공중전화하는 말이 들렸는데 내 얘기를 하는 거야,증상/피해망상
결혼 얘기 오가다가 뭔가 맞지 않았고 더 진행되기 전에 헤어지기로 했네요,배경/여자친구/이별
아빠 죽었다는 말에 눈물도 안 나왔어요 그냥 내가 불쌍했어요 ,감정/힘듦
정말 너무 후회돼요,감정/후회
나도 죽으면 어떨까 편해질까,감정/자살충동
처음에 그 얘기를 들었을 때는 너무 황당한 거예요,감정/곤혹감
다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야,감정/걱정
그래서 충격이었어요,감정/충격
병원 가서 검사해봐도 별 문제가 없다는데 왜 이러는지 모르겠어요,치료이력/병원내원/검사/이상없음
진짜 너무 죽고 싶어요,감정/자살충동
일단 고소는 좀 더 생각해보기로 했는데 그 날 너무 충격을 받았어요,감정/충격
처음에는 내가 하고 싶은 작업 내 맘대로 하니까 좋았어,배경/직장
한 명이 아닌 것 같기도 하고 그냥 별점이 막 훅훅 떨어져요,배경/직장
술은 예전부터 좋아했는데 한창 잘 마실 시기엔 주일에 번 소주 병 정도 마셨어,배경/음주/애주가
왜 배워야 하는 건지 모르는 것들만 주구장창 알려주는데 어이가 없는 거야,감정/불만
날이 더워서 그런지 식욕이 없어 밥을 거의 못 먹어,증상/식욕저하
하루에 한 끼도 제대로 안 먹어,증상/식욕저하
그래서 강의가 끝날 때까지 너무 어지러워서 책상만 꽉 붙잡고 있었어요,증상/어지러움
하고싶어 하는거 다 해주고 싶은데,모호함
다시 합치기엔 너무 멀리 온것 같구 그래도 이렇게 가끔 친구처럼 연락하고 지낼 수 있어서 다행이야,배경/남편/의지
막 되게 당연한 건데도 생각이 잘 안 나요,증상/인지기능저하
나는 그래도 아직 어린데 이렇게 사는게 맞나 싶기도 해,감정/심란
몸무게도 늘고요,증상/체중증가
움직이는 양이 줄어드니까 살도 많이 쪘어요,증상/체중증가
남편이랑은 그냥 그래 부부관계도 별로 없고 살갑게 챙겨주는 것도 아니고,배경/남편/무관심
내가 확인하지 못 한 게 있는 건 아닐까 걱정돼서요,감정/걱정
재혼하고 나서 낳은 둘째는 넉넉한 형편에서 자랐는데,배경/자녀
그래서 그럼 내가 왜 이러는 거냐니까 의사가 되게 난감해하더라,치료이력/병원내원
보고 싶다고 해도 시큰둥하고 이러려고 결혼했냐고 화를 내도 반응이 없어요,배경/남편/무관심
제가 조금이라도 우울하거나 짜증을 내면 굉장히 신경을 써주는 편이예요,배경/남편/관계양호
근데 그 일 있고 나서 요즘 너무 가슴이 떨려요,증상/가슴떨림
도시가 아니라서 그런가 그런 사람들이 꽤 많았거든요,모호함
나만 빼고 다 잘났어,감정/비관적
그 늙은네가 사람 약 올리는 짓을 어찌나 잘하는지,배경/시댁/갈등/시어머니
이럴 바엔 그냥 다시 태어나고 싶어,모호함
분명 방금 본 건데도 기억이 안 나고 내가 한 말도 기억 못 해,증상/기억력저하
남편 사업 때문에 한국에서 살고 있어요 갓 돌 지난 애도 있어요 ,배경/자녀
나는 남편이 막내여서 시부모님 모실 일은 없겠구나 생각했었어,배경/시댁
작년에 공부한다고 도서관에 갔다 집으로 돌아왔는데 현관 들어서자마자 숨이 턱 막혔어요,증상/호흡곤란
이젠 취업을 해야 할 것 같아요 근데 어떤 것부터 해야 할 지 모르겠어요,배경/취업/준비
잠을 못 자니까 하루종일 피곤하고,증상/피로/불면
모두 다 서로를 보면 밟고 찌를 생각뿐이야,감정/생각
심한 정도는 아니지만 자해도 했어요,증상/자해
왜 사람이 너무 행복하면 거기에서 공포를 느낀다고 하잖아요,감정/공포
이게 다 남편이 준 칼슘 때문이에요,증상/피해망상/남편
대학원도 그 교수님 밑에서 배우고 싶었고 그만큼 따랐거든요,배경/대학
아직 육아휴직중이에요,배경/직장/휴직
혹시 더 큰 문제가 있는 건 아닐까,감정/걱정
안 먹어야지 해도 회사에서 스트레스 받으면 어떻게 할 수가 없어요 ,배경/직장/스트레스
대입도 다 제가 어떻게 준비해서 대학 오긴 했는데 지금도 힘들어요,감정/힘듦
하루에 한 잔 정도 속은 안 쓰리더라고요 ,증상/식욕저하
친구랑 놀다가 집에 왔는데 아무 소리도 안 나고 이상한 냄새가 났어요,배경/어린시절
시도 때도 없이 가슴이 쿵쿵 뛰어요,증상/두근거림
아무것도 안 하고 싶어,증상/무기력
내가 얼마나 잘해줬는데 끝까지 지만 생각하고,감정/불만
그러다 말았고 이제는 또 안 그래서 그냥 잊고 사는데,상태/증상감소
이거 원래는 일 년 반을 계획하고 있었어,부가설명
가슴이 답답하고 담이 걸린 것처럼 눌린 느낌이 나,증상/가슴답답
너무 답답해요,감정/답답
나쁜 성분 같은 게 있으면 어떻게 해,감정/걱정
근데 대학 와서 그걸 티 낼 수가 없는 거야 좀 무서웠거든,감정/무서움
나는 광주로 가고 여친은 인천으로 갔거든,모호함
저는 이 치료도 믿지 않아요,감정/불신
가슴은 갑갑하고 뭔가 꽉 막혀있는 거 같은,증상/가슴답답
평소처럼 중앙자리에 앉았는데 자리에 앉고 나서 분 분 쯤 지나니까 손발이 저리더라,증상/저림현상/발/손
이게 막 그냥 비유적인 표현이 아니라 정말 죽을 것 같다니까요,증상/죽음공포
주변에 있는 것들이 다 예민하게 다가왔어요,감정/예민함
한 시간 넘게 뒤척이다가 겨우 자는 것 같은데 그마저도 중간에 깨요,증상/불면
암이 뭐 나이 가리냐 혹시 모르잖아 당연히 걱정되지,감정/걱정/암
내가 워낙 새가슴이야,배경/성격/소심
뭘 어떻게 해야 할지 모르겠어요,감정/심란
가슴이 떨리는 건지 아니면 그냥 내 기분 탓인지 뭔지 모르겠어,증상/가슴떨림
애들이 애 아빠 보고 싶어 할 때는 마음 아프고,감정/미안함/자녀
퇴근할 때 문단속을 제가 하는데 문고리를 보통 번 번은 확인해야 마음이 놓여요,증상/반복행동/문단속
아잘 사는 것들은 힘든 일 없이 잘만 사는데 왜 난 항상 이렇게 엉키고 엉키는걸까,감정/부정적사고
머리에 짓눌리는 통증이 있어,증상/두통
근데 점점 갈수록 저까지 힘들어지는 것 같아요,감정/힘듦
남친 엄마가 미친 싸이코 또라이 같아,배경/시댁/갈등
어색함이 싫어서가 아니라 술이 좋아서 마시게 되는 기분,배경/음주
년 전엔 진짜 힘들었어요 여자친구랑도 헤어지고,배경/여자친구/이별
다행인지 불행인지 부작용도 없고 지금은 아무렇지도 않아요,상태/증상감소
근데 웃긴 게 뭔지 알아 ,일반대화
한숨을 하도 많이 쉬니까 호흡이 고르지 못한 느낌이 들더라구요,증상/호흡곤란
예전에 회사 들어가기 전에 잠깐 사귄 여자친구가 있었는데,배경/여자친구
그 친구가 못해주거나 그런게 아니에요자존감이 너무 낮아서 그런 것 같아요,감정/자존감저하
남편이랑 싸웠는데 이 인간이 나한테 선풍기를 던졌어,배경/남편/폭력
계속 반복하니까 시간이 아깝다는 생각이 들긴 한데 고치기가 너무 힘들어,증상/반복행동
형이랑 엄마랑 지내다가 혼자 있으니까 조금 외롭긴 하더라고요,감정/외로움
아직 아파트 살 때 빌린 돈도 다 못 갚았는데,배경/경제적문제
진짜 나쁜 생각인건 아는데 그 생각에서 벗어나기가 힘들어요,증상/피해망상
괜찮다 잘 될 거다 언젠가는 이해해주실 거다 생각하려고 해도 잘 안 돼요,자가치료/심리조절
따로 만나서 영화도 보고 밥도 먹고 연락도 주고 받아요,배경/연애
하고싶은 것도 없고그냥 시간만 흘러가는것 같아,감정/무미건조
과제를 하고 있는데 머리가 어지러웠어요,증상/어지러움
얘기가 잘 통해서 술 한잔하게 됐고 얼결에 사귀게 된거죠,배경/연애
다행히 사람은 안 다쳤는데 차 앞 범퍼가 다 나갔었어요,배경/사고/교통사고
머릿속이 명료하지가 않고 흐리멍텅한 기분이야,감정/멍함
아 목이 부러질 거 같아,증상/통증/목
근데 자꾸만 그런 생각이 드는 거예요 얘도 날 싫어하지 않을까,증상/피해망상
그 생각도 나고 여러모로 배울 게 많을 거 같았어,배경/공부
연봉도 조금 더 오르고 대우도 괜찮은 거 같아서 지금 회사로 옮겼어요,배경/직장/이직
어떻게 나한테 말도 한마디 없이 그럴 수가 있지,감정/분노
모든 게 갑작스러워서 너무 힘든데 기댈 곳이 없어요,감정/힘듦
피할 수도 없는데 뭘 어떻게 해야 할지 모르겠어요,감정/심란
사실 요즘 스트레스를 많이 받긴 했어요,배경/생활/스트레스
최근에는 하루만 지나도 무슨 일이 있었는지 잘 기억이 안 나,증상/기억력저하
처음에는 이런 생각을 하는 제가 너무 싫고 미웠거든요,감정/자괴감
사랑이란 거 참 신기하더라고요 연애 년 만에 결혼했어요 아무래도 같이 살지 않으면 보기 힘드니까 결혼을 결정하는 게 생각보다 어렵지는 않았어요,배경/결혼
원래 화 같은 거 안 냈고 그냥 엄청 조용했거든요,배경/성격/내성적
아침에 일어나면 이불 속에서 그대로 몇 시간을 보내,증상/은둔
주변에서는 잘 헤어졌다고 하는데 전 아니에요,배경/연애/이별
두 달 전부터 아무 이유 없이 살이 빠져,증상/체중감소
내가 밥을 안 먹어서 병이 난 거래요,감정/분노
오른쪽 목이 누울 때만 아파,증상/통증/목
요즘 자다가 중간에 깰 때가 많아,증상/불면
내 자식인데 미워 죽겠어,배경/자녀
그 언니도 년이 넘도록 어울리던 사람이었어 일주일에 몇 번 볼 정도로 아주 가까웠지,배경/대인관계
근데 이걸 먹어도 잘 못 잤어,증상/불면/증상지속
그래서 가볼까 생각중이긴 한데 또 걱정이야,감정/걱정
이렇게 살다가는 망할 것 같아,감정/비관적
집에서 계속 누워만 있으니까 뭘 많이 먹는 것도 아닌데 살만 자꾸 쪄,증상/체중증가
쥐돌이도 못 가지고 노는 애가 물긴 뭘 물어,배경/애완동물
맘이 불안하니까 잠들기도 힘들고,증상/불면/불안감
당연히 주위에 친한 친구도 별로 없죠,배경/대인관계
그런 생각은 안 해봤어서 좀 당황스럽긴 한데 일단 가보라니까,감정/당황
염증 때문에 병원에 자주 다니다 보니까 환자들을 많이 보게 돼,배경/건강문제
삶에 희망이 없어 평생 솔로로 살아야 할 것 같아,감정/부정적사고
그 사이에 물론 일본은 왔다갔다 했어요,모호함
밤엔 잠도 잘 안 오고 중간에 화장실이 가고 싶어서 자꾸 깨,증상/불면
그래서 일단 휴학을 했어,배경/대학/휴학
같잖아요,감정/짜증
힘을 내보자 힘내서 못 할 게 뭐가 있나 싶어서 마음 좀 다잡으려고 했는데,자가치료/심리조절
내 인생이 그냥 망해버린 것 같아 다 끝난 기분이야,감정/좌절
잠을 한 번 자면 푹 못 자,증상/불면
저는 급체를 했다고 생각했어요,증상/소화불량
예를 들면 그런 거야 여행은 혼자가는게 좋다 여럿이 가야 좋다 둘 중에 나는 후자거든 그럼 여럿이서 가야 하는 이유에 대해 끊임 없이 피력하는 거지,증상/반복행동/대화
